data,open,high,low,close
3637,2789.2 ,2791.7 ,2788.6 ,2791.4 
3638,2791.4 ,2792.4 ,2789.0 ,2792.2 
3639,2792.2 ,2793.2 ,2791.3 ,2792.0 
3640,2791.9 ,2792.3 ,2786.5 ,2786.7 
3641,2786.6 ,2786.6 ,2783.3 ,2784.9 
3642,2785.2 ,2786.4 ,2784.1 ,2785.2 
3643,2785.2 ,2788.3 ,2784.7 ,2786.5 
3644,2786.7 ,2788.3 ,2785.7 ,2785.9 
3645,2785.9 ,2790.3 ,2784.8 ,2788.6 
3646,2788.9 ,2791.7 ,2781.8 ,2785.3 
3647,2785.1 ,2790.5 ,2785.0 ,2788.8 
3648,2788.8 ,2792.8 ,2787.5 ,2791.4 
3649,2791.5 ,2793.6 ,2789.5 ,2791.2 
3650,2791.1 ,2791.7 ,2789.3 ,2790.8 
3651,2790.8 ,2791.4 ,2789.6 ,2790.5 
3652,2790.5 ,2793.0 ,2786.0 ,2787.8 
3653,2787.8 ,2791.1 ,2786.3 ,2786.5 
3654,2786.2 ,2787.7 ,2784.8 ,2785.5 
3655,2785.6 ,2786.9 ,2784.4 ,2785.1 
3656,2784.9 ,2786.7 ,2779.5 ,2781.6 
3657,2781.8 ,2784.1 ,2781.2 ,2783.7 
3658,2783.5 ,2784.2 ,2781.9 ,2783.3 
3659,2783.3 ,2787.0 ,2783.1 ,2784.4 
3660,2784.1 ,2785.4 ,2784.1 ,2784.5 
3661,2784.5 ,2785.0 ,2782.3 ,2784.0 
3662,2783.9 ,2784.2 ,2779.8 ,2780.3 
3663,2780.1 ,2780.1 ,2772.2 ,2774.4 
3664,2774.0 ,2774.4 ,2771.0 ,2773.3 
3665,2773.4 ,2773.6 ,2771.6 ,2772.6 
3666,2772.7 ,2773.2 ,2767.1 ,2769.7 
3667,2769.6 ,2769.9 ,2767.5 ,2767.7 
3668,2767.7 ,2769.2 ,2767.4 ,2767.9 
3669,2767.9 ,2768.8 ,2766.7 ,2768.7 
3670,2768.7 ,2769.2 ,2765.9 ,2767.6 
3671,2768.1 ,2770.7 ,2767.6 ,2770.3 
3672,2770.4 ,2770.8 ,2769.2 ,2770.4 
3673,2770.7 ,2771.6 ,2769.3 ,2769.6 
3674,2769.6 ,2771.1 ,2769.6 ,2770.6 
3675,2771.2 ,2771.4 ,2768.9 ,2769.5 
3676,2769.5 ,2771.2 ,2767.9 ,2769.0 
3677,2768.8 ,2770.2 ,2767.4 ,2767.9 
3678,2767.9 ,2768.2 ,2763.1 ,2764.7 
3679,2764.7 ,2764.9 ,2759.7 ,2760.1 
3680,2760.1 ,2762.0 ,2757.7 ,2759.0 
3681,2759.0 ,2761.8 ,2758.7 ,2761.3 
3682,2761.4 ,2762.6 ,2760.1 ,2762.1 
3683,2761.8 ,2763.5 ,2761.0 ,2762.3 
3684,2762.0 ,2763.6 ,2761.5 ,2763.1 
3685,2763.4 ,2763.8 ,2760.8 ,2761.5 
3686,2761.5 ,2765.5 ,2760.7 ,2764.7 
3687,2764.7 ,2770.6 ,2764.1 ,2769.6 
3688,2769.9 ,2775.3 ,2769.6 ,2773.0 
3689,2773.3 ,2773.5 ,2771.8 ,2773.4 
3690,2773.4 ,2773.5 ,2770.8 ,2773.5 
3691,2773.2 ,2774.8 ,2770.6 ,2770.6 
3692,2770.2 ,2775.2 ,2770.1 ,2775.0 
3693,2774.4 ,2782.8 ,2772.6 ,2780.7 
3694,2781.0 ,2782.4 ,2779.8 ,2781.1 
3695,2781.5 ,2781.5 ,2779.0 ,2779.2 
3696,2779.2 ,2781.7 ,2778.8 ,2781.7 
3697,2781.8 ,2782.0 ,2777.5 ,2777.5 
3698,2777.5 ,2778.1 ,2776.1 ,2778.1 
3699,2778.1 ,2779.3 ,2776.6 ,2777.8 
3700,2777.8 ,2780.3 ,2777.6 ,2778.4 
3701,2778.2 ,2781.6 ,2777.9 ,2779.3 
3702,2779.2 ,2779.7 ,2774.8 ,2775.1 
3703,2774.9 ,2775.5 ,2773.1 ,2773.4 
3704,2773.3 ,2774.2 ,2772.8 ,2773.4 
